,Unnamed: 0,Pothole number,Bags used ,area
0,0,101,0.5,63705.19848771267
1,1,102,1.0,29383.59375
2,2,106,0.5,2735.121951219512
3,3,107,0.5,7498.573127229489
4,4,109,0.5,27674.00147928994
5,5,110,2.0,105525.0
6,6,111,0.5,37568.01035502958
7,7,112,0.5,40903.28719723184
9,9,115,2.0,106305.0
10,10,116,1.0,165255.55555555556
11,11,117,3.0,85713.15789473685
12,12,118,2.0,255733.3333333333
13,13,119,1.0,1027.3807659174563
14,14,120,1.0,49795.847750865054
15,15,121,0.5,660303.0
16,16,122,4.0,68750.0
17,17,123,3.0,173422.265625
18,18,124,1.0,43962.1875
20,20,126,0.5,15169.444444444443
22,22,128,1.0,229548.21428571432
23,23,129,0.5,389402.47933884297
24,24,132,2.0,339609.375
25,25,133,1.0,90145.97107438016
26,26,134,1.0,18302.76
27,27,135,3.0,279809.4674556213
28,28,136,3.0,140175.0
29,29,138,1.0,22819.38775510204
30,30,139,1.0,297675.0
31,31,140,1.0,326025.0
32,32,141,1.0,390060.0
33,33,142,3.0,15296.88581314879
34,34,145,1.0,4046.655328798186
35,35,146,1.0,24892.12278106509
36,36,147,1.0,95163.57421875
37,37,148,2.0,48945.375
39,39,150,2.0,51979.86111111111
40,40,404,2.0,120887.57396449705
41,41,405,1.5,52281.81818181818
42,42,407,1.5,127179.58579881657
43,43,408,0.25,20640.306122448983
44,44,409,0.25,366909.91735537193
45,45,410,1.0,593250.0
46,46,411,0.5,137025.0
47,47,412,1.0,69213.77551020408
48,48,413,0.5,48000.0
49,49,414,2.5,99512.5
50,50,415,2.5,142392.0
51,51,416,1.5,152989.34911242602
53,53,418,0.5,113049.0
54,54,419,0.5,2930.0338189386057
55,55,420,2.5,112555.10204081632
56,56,421,0.5,117866.66666666666
57,57,422,2.0,172604.6875
58,58,423,0.25,226076.7857142857
59,59,424,0.25,12584.0
60,60,425,0.5,1988.417013527576
61,61,426,0.5,3941.28
62,62,427,1.0,73183.16326530612
63,63,428,0.5,48441.0
65,65,430,0.5,1653.0470914127425
66,66,431,1.0,37524.39446366782
67,67,432,1.0,277924.5
68,68,433,0.5,83686.22448979593
69,69,435,0.5,44632.6530612245
70,70,437,1.0,57389.0625
71,71,438,1.0,125100.0
72,72,439,1.0,109006.25
73,73,440,0.5,33690.166204986155
74,74,441,0.5,390060.0
75,75,442,0.5,28485.9375
76,76,443,0.5,20937.5
77,77,444,0.5,30406.640625
78,78,445,0.5,7916.666666666666
79,79,446,0.5,34938.77551020408
80,80,447,0.5,24122.263313609463
81,81,448,2.0,81898.4429065744
82,82,449,1.0,184482.0
83,83,451,0.5,15932.8125
84,84,452,2.0,99918.3673469388
86,86,454,0.5,42427.0
87,87,455,0.5,16377.777777777776
88,88,456,0.5,16374.0234375
89,89,460,0.5,19736.77685950413
90,90,461,0.5,24800.0
91,91,462,0.5,65089.28571428572
92,92,463,1.0,30769.921875
93,93,465,0.5,7069.113573407203
94,94,466,0.5,63367.34693877552
95,95,467,0.5,43717.62759924386
96,96,468,0.5,27539.0625
97,97,469,0.5,35436.56509695291
98,98,471,0.5,13315.512465373962
99,99,472,0.5,59788.4765625
100,100,474,0.5,21476.25
101,101,475,0.5,60390.53254437869
102,102,476,0.5,89484.375
103,103,477,0.5,6465.495867768595
104,104,478,1.5,60900.0
105,105,497,2.0,134400.0
107,107,499,1.5,25289.0
108,108,500,1.0,49940.30451019821
109,109,1032,0.25,66027.5147928994
110,110,1033,0.25,21637.882653061228
111,111,1034,0.5,45450.0
112,112,1035,0.5,34301.65406427221
113,113,1036,0.5,90327.27272727274
114,114,1037,0.5,22955.102040816328
115,115,1038,0.5,164661.1111111111
116,116,1039,1.0,30172.314049586777
117,117,1041,0.25,6181.921487603306
118,118,1042,0.25,9546.124763705104
119,119,1043,0.25,5942.975206611571
120,120,1047,0.5,12081.521739130436
121,121,1048,0.5,177876.5625
122,122,1049,0.25,18975.0
123,123,1051,1.55,35208.0
124,124,1052,1.05,67357.6171875
126,126,1055,0.5,17800.0
127,127,1056,0.25,14576.66015625
128,128,1058,2.0,29657.03125
129,129,1059,0.25,25377.008310249308
130,130,1060,1.0,36610.34971644612
131,131,1061,0.5,26473.961218836568
132,132,1062,0.5,1358.1647828673408
133,133,1063,0.25,13588.468809073724
134,134,1064,0.25,11856.487889273358
136,136,1069,0.5,119531.25
137,137,1070,0.5,644.3072702331962
138,138,1071,0.5,141500.0
139,139,1072,0.55,28840.90909090909
140,140,1073,1.0,32100.619834710746
141,141,1074,1.0,32031.25
142,142,1075,0.5,7386.75
143,143,1076,0.25,11222.778827977316
144,144,1077,0.25,913.8811743701648
145,145,1078,0.25,134937.5
146,146,1079,0.25,10888.28125
147,147,1080,0.5,17702.440828402367
148,148,1081,0.5,8914.285714285714
149,149,1082,0.5,12017.950052029137
150,150,1083,1.0,37279.6875
151,151,1084,1.0,23947.15909090909
152,152,1087,0.5,34699.21875
153,153,1088,0.5,11811.6
155,155,1090,0.5,20138.888888888887
156,156,1091,0.5,17904.016620498616
157,157,1092,0.5,48528.10650887574
158,158,1095,0.5,17904.016620498616
159,159,1096,0.5,48528.10650887574
160,160,1097,0.25,13984.615384615385
161,161,1098,0.5,37430.859375
162,162,1099,0.5,21971.938775510207
163,163,1100,0.5,24186.0
164,164,1101,0.25,12529.15224913495
165,165,1102,1.0,606375.0
166,166,1103,0.5,19800.0
167,167,1104,0.5,19180.8
168,168,1105,0.5,22396.2890625
169,169,1106,0.5,12954.942767950051
171,171,1108,0.5,38082.39795918368
172,172,1109,3.1,8949.810964083175
173,173,1110,0.25,9426.375
174,174,1111,0.25,7207.4792243767315
175,175,1112,0.25,11880.0
176,176,1113,0.25,20824.196597353497
177,177,1114,0.5,12075.0
178,178,1116,0.5,149000.0
179,179,1117,1.0,2426.6460905349795
180,180,1118,8.0,51438.24
181,181,1119,0.5,15718.388429752067
182,182,1120,0.25,10758.86426592798
183,183,1121,0.5,24218.75
184,184,1122,0.5,12626.470588235296
185,185,1123,0.5,24907.372400756143
186,186,1125,0.5,2104.0665378577464
187,187,1126,1.0,12709.125
188,188,1127,3.05,190230.1775147929
189,189,1128,8.0,116.45614714826772
190,190,1129,0.5,43056.21301775148
191,191,1130,0.5,17812.370242214532
192,192,1131,0.5,13222.554630593131
193,193,1133,0.25,285312.5
194,194,1135,0.25,618.6240769821912
195,195,1137,0.5,243978.06122448985
196,196,1138,0.5,18042.75
197,197,1139,0.5,259128.0
198,198,1140,0.5,22471.30102040817
199,199,1141,0.5,8889.795918367347
200,200,1142,1.0,36733.16326530613
201,201,1143,0.5,6333.333333333333
202,202,1144,0.5,11133.333333333332
203,203,1147,0.5,13321.875
204,204,1148,0.25,1118.7859364690355
205,205,1149,0.5,41006.25000000001
206,206,1153,0.25,89055.12465373962
207,207,1154,0.25,32199.173553719007
208,208,1155,0.25,70821.0
209,209,1156,0.25,21885.841836734697
210,210,1157,0.25,4220.152354570638
211,211,1158,0.25,12740.0
212,212,1159,0.25,13644.809688581316
213,213,1160,0.25,80372.25
214,214,1164,0.25,9423.82271468144
215,215,1165,0.25,35721.0
216,216,1166,0.25,249480.0
217,217,1167,0.5,117472.5
218,218,1168,0.25,4809.375000000001
219,219,1169,0.5,14868.69806094183
220,220,1170,0.25,152831.25
221,221,1171,0.25,77283.0
222,222,1172,0.25,10453.603316326533
223,223,1173,0.25,2713.492063492064
224,224,1174,0.5,20455.555555555555
225,225,1176,0.5,2674.7041420118344
226,226,1177,0.5,24583.33333333333
227,227,1178,0.5,3767.2189349112414
228,228,1179,0.25,3577.221074380165
229,229,1180,0.5,22409.82986767486
231,231,1183,0.25,2808.009433138265
233,233,1185,0.5,1031.7460317460318
234,234,1186,0.5,87656.25
235,235,1187,5.5,17417.045454545456
236,236,1188,0.25,96598.46938775512
237,237,1189,0.5,240625.0
238,238,1190,0.5,55176.5625
239,239,1192,0.25,6517.011834319526
240,240,1193,0.5,67134.375
241,241,1194,0.5,6640.0
242,242,1195,0.25,5444.444444444444
243,243,1196,0.5,91080.0
244,244,1197,0.25,9498.811983471074
246,246,1200,1.0,60821.893491124254
247,247,1201,0.5,26704.591836734693
248,248,1202,0.5,75060.0
249,249,1203,1.0,31451.0625
250,250,1204,0.25,23587.80991735537
251,251,1207,0.5,117767.25
252,252,1208,0.5,1213.4692677188511
253,253,1210,0.5,14533.59375
254,254,1212,0.25,36487.27810650887
255,255,1213,0.25,758520.0
256,256,1214,0.25,8923.456790123457
257,257,1216,0.5,1662.5
258,258,1217,1.0,68400.0
259,259,1218,0.25,12238.28125
260,260,1219,0.5,14313.232514177696
261,261,1221,0.25,51497.10743801653
262,262,1224,0.25,1341.6322314049587
263,263,1225,0.5,14044.897959183674
264,264,1226,1.05,47023.85204081633
265,265,1227,0.5,126519.75
266,266,1228,0.25,8579.032258064515
267,267,1229,0.25,21666.56804733728
268,268,1230,1.0,66305.55555555555
270,270,1232,0.5,49894.52908587258
271,271,1233,0.5,38410.847107438014
272,272,1234,1.0,33756.973140495866
273,273,1235,0.25,724.9250946916163
274,274,1236,0.5,32266.11570247934
275,275,1238,0.25,26705.25
276,276,1239,0.5,53615.25
277,277,1240,0.25,16525.925925925923
278,278,1242,2.0,67581.81818181818
279,279,1243,0.5,207569.44444444444
280,280,1245,0.25,22861.44
281,281,1246,0.25,4290.0
282,282,1247,0.5,9725.308641975307
283,283,1248,1.0,1115929.6875
284,284,1251,1.0,62581.16343490305
285,285,1253,0.5,22298.06094182825
287,287,1256,0.25,16884.13111342352
288,288,1257,1.55,321489.0
289,289,1258,2.05,157146.69421487604
290,290,1259,1.0,9588.789294281023
291,291,1260,0.25,77775.0
292,292,1263,0.25,39434.94809688582
293,293,1264,0.5,1404.0
294,294,1265,0.5,51438.24
295,295,1266,0.5,39195.26627218934
296,296,1267,1.0,401625.0
297,297,1268,1.0,164025.00000000003
298,298,1269,2.0,87893.75
299,299,1271,0.5,19886.0
300,300,1272,1.0,69477.07100591715
301,301,1274,0.25,13705.2
302,302,1275,0.25,11643.75
303,303,1276,0.25,9074.889053254436
305,305,1281,0.5,5250.96
307,307,1283,12.0,458641.8367346939
308,308,1284,1.05,431460.0
309,309,1285,0.5,212850.0
310,310,1286,1.0,34436.67820069204
311,311,1287,0.5,24750.0
312,312,1288,0.25,85693.38842975207
313,313,1291,0.5,9433.264462809915
314,314,1292,0.5,9905.2734375
315,315,1293,0.5,7342.34693877551
316,316,1294,0.25,9751.239669421488
317,317,1295,0.25,437.4144785502958
318,318,1297,0.5,13975.0
319,319,1298,0.25,241902.0
320,320,1299,0.25,306360.0
321,321,1302,0.25,5132.231404958678
322,322,1303,0.25,10283.95061728395
323,323,1304,0.25,48861.0
324,324,1305,0.5,231134.69387755104
325,325,1306,0.25,16786.956521739132
326,326,1308,0.5,26669.38775510204
327,327,1309,0.25,5855.165816326531
328,328,1310,0.25,7779.474505723205
329,329,1312,0.25,47557.54437869822
330,330,1313,0.25,223256.25
331,331,1314,0.5,3357.6773915541507
332,332,1315,0.25,809.6556488468487
333,333,1316,0.5,50312.8125
334,334,1318,0.25,6116.318668252081
335,335,1320,0.25,7826.2117346938785
336,336,1321,0.25,4344.26652892562
337,337,1323,1.0,45688.94628099174
338,338,1324,0.25,11230.246913580246
339,339,1325,0.5,78400.0
340,340,1326,0.25,38661.1875
341,341,1328,1.0,35814.265927977845
342,342,1331,0.25,16800.0
343,343,1332,0.25,31500.0
344,344,1333,0.25,321489.0
345,345,1334,0.25,8470.2216066482
346,346,1335,0.25,25300.0
347,347,1336,0.25,8659.343112244898
348,348,1337,0.25,223256.25
349,349,1341,0.25,85680.0
350,350,1342,0.5,15282.79958677686
351,351,1343,0.5,16500.0
352,352,1344,0.5,32936.11111111111
353,353,1345,0.5,2182.235671057316
354,354,1346,0.5,20449.125
355,355,1347,0.5,72900.0
356,356,1349,1.0,46400.0
357,357,1350,0.25,12670.3125
358,358,1352,0.25,1234.5142799424257
360,360,1355,3.0,111240.68877551022
361,361,1356,0.55,42232.68698060942
362,362,1357,0.5,13053.719008264465
363,363,1358,0.5,14378.0
365,365,1407,0.25,53083.33333333333
366,366,1408,1.0,62350.0
367,367,1410,0.25,70189.66836734695
368,368,1412,0.25,146900.0
369,369,1413,0.25,13893.176020408164
370,370,1414,0.5,119003.69822485208
371,371,1416,0.5,1474200.0
372,372,1417,2.0,47816.89453125
373,373,1418,0.25,28136.678200692044
374,374,1420,0.25,10206.064209274671
375,375,1424,0.25,5186.925365062196
376,376,1425,0.5,1753.465524041737
377,377,1427,1.0,157047.75
378,378,1428,0.25,20813.888888888887
379,379,1429,0.25,5694.0686784599375
380,380,1431,0.5,3432.2544642857147
381,381,1433,0.5,10274.074074074071
382,382,1439,0.5,901440.0
383,383,1440,1.0,44879.32525951557
384,384,1442,1.0,135749.25
385,385,1443,0.25,48839.0625
386,386,1445,0.5,170411.1111111111
387,387,1449,0.5,37983.67346938776
388,388,1450,2.0,82038.46153846153
